Year,S&P 500 Annual Return (%),NASDAQ-100 Annual Return (%),Top NASDAQ Companies Average EPS Growth (%)
1992,4.464263175974903,8.864906257526094,
1993,7.055156263296847,10.576509704434866,
1994,-1.539291029147316,1.503964611010833,
1995,34.11065547708709,42.535928000646784,
1996,20.263666170303285,42.54030737578161,
1997,31.008181746570852,20.63285706154092,
1998,26.66858915596535,85.30020064976942,
1999,19.526046658878403,101.95042828760621,
2000,-10.139184665858437,-36.84446423294453,
2001,-13.042693172742602,-32.65362421693225,
2002,-23.365963957103563,-37.58156275074126,
2003,26.38039993281984,49.12279439912828,
2004,8.993452410946755,10.436532412223286,
2005,3.0010226581274946,1.4853901085185806,
2006,13.619431738260701,6.789452744793945,
2007,3.5295730663479574,18.670948982197366,
2008,-38.485793060906715,-41.88533599972739,
2009,23.45419048834072,53.535263575253154,
2010,12.782713853760175,19.219916979775142,
2011,-0.0031836663936912757,2.7039564173791053,
2012,13.40569092662105,16.818631784464543,
2013,29.601249573324353,34.99040156180715,
2014,11.390633786748117,17.93651963129872,
2015,-0.7265997205823549,8.426974904393214,
2016,9.535022667283656,5.885787173553525,
2017,19.419965523287928,31.51561527740938,
2018,-6.2372598496206795,-1.0388577961243595,
2019,28.878070225158446,37.963845264563666,
2020,16.258923055706177,47.580172977537785,
2021,26.89273866137125,26.627290312427277,
2022,-19.442827203429268,-32.9674872105048,
2023,24.230500797629894,53.80529415618951,
2024,23.309002343424012,24.8796964692237,
