features,net_profit,stock_profit
"['Bollinger_Upper', 'Bollinger_Lower', 'Volatility']",1787.788827896186,1527.963829098205
"['SMA_50', 'Bollinger_Upper', 'Bollinger_Lower', 'Bollinger_Middle', 'Volatility']",1709.255933735476,1527.963829098205
['RSI_above_70'],1527.963829098205,1527.963829098205
['Bollinger_Upper'],1527.963829098205,1527.963829098205
['Bollinger_Lower'],1527.963829098205,1527.963829098205
"['RSI', 'RSI_above_70']",1527.963829098205,1527.963829098205
"['RSI', 'Bollinger_Upper']",1527.963829098205,1527.963829098205
"['RSI_above_70', 'Bollinger_Upper']",1527.963829098205,1527.963829098205
"['RSI_above_70', 'Bollinger_Middle']",1527.963829098205,1527.963829098205
"['RSI_above_70', 'Volatility']",1527.963829098205,1527.963829098205
"['SMA_50', 'Bollinger_Lower']",1527.963829098205,1527.963829098205
"['SMA_50', 'Bollinger_Middle']",1527.963829098205,1527.963829098205
"['SMA_50', 'Volatility']",1527.963829098205,1527.963829098205
"['Bollinger_Upper', 'Volatility']",1527.963829098205,1527.963829098205
"['Bollinger_Middle', 'Volatility']",1527.963829098205,1527.963829098205
"['RSI', 'RSI_above_70', 'Bollinger_Upper']",1527.963829098205,1527.963829098205
"['RSI', 'RSI_above_70', 'Volatility']",1527.963829098205,1527.963829098205
"['RSI', 'Bollinger_Lower', 'Bollinger_Middle']",1527.963829098205,1527.963829098205
"['RSI_above_70', 'SMA_50', 'Bollinger_Upper']",1527.963829098205,1527.963829098205
"['RSI_above_70', 'Bollinger_Lower', 'Bollinger_Middle']",1527.963829098205,1527.963829098205
"['SMA_50', 'Bollinger_Upper', 'Bollinger_Middle']",1527.963829098205,1527.963829098205
"['SMA_50', 'Bollinger_Middle', 'Volatility']",1527.963829098205,1527.963829098205
"['Bollinger_Upper', 'Bollinger_Middle', 'Volatility']",1527.963829098205,1527.963829098205
"['RSI', 'RSI_above_70', 'SMA_50', 'Bollinger_Middle']",1527.963829098205,1527.963829098205
"['RSI', 'SMA_50', 'Bollinger_Lower', 'Volatility']",1527.963829098205,1527.963829098205
"['RSI', 'Bollinger_Lower', 'Bollinger_Middle', 'Volatility']",1527.963829098205,1527.963829098205
"['RSI_above_70', 'SMA_50', 'Bollinger_Upper', 'Bollinger_Lower']",1527.963829098205,1527.963829098205
"['RSI_above_70', 'SMA_50', 'Bollinger_Upper', 'Bollinger_Middle']",1527.963829098205,1527.963829098205
"['RSI_above_70', 'Bollinger_Upper', 'Bollinger_Middle', 'Volatility']",1527.963829098205,1527.963829098205
"['RSI', 'RSI_above_70', 'SMA_50', 'Bollinger_Upper', 'Bollinger_Middle']",1527.963829098205,1527.963829098205
"['RSI', 'RSI_above_70', 'Bollinger_Upper', 'Bollinger_Middle', 'Volatility']",1527.963829098205,1527.963829098205
"['RSI', 'RSI_above_70', 'Bollinger_Lower', 'Bollinger_Middle', 'Volatility']",1527.963829098205,1527.963829098205
"['RSI', 'RSI_above_70', 'SMA_50', 'Bollinger_Upper', 'Bollinger_Middle', 'Volatility']",1527.963829098205,1527.963829098205
"['Bollinger_Lower', 'Bollinger_Middle']",1425.1961765434867,1527.963829098205
"['RSI_above_70', 'SMA_50', 'Bollinger_Upper', 'Volatility']",1420.343017809724,1527.963829098205
"['RSI_above_70', 'SMA_50', 'Bollinger_Lower', 'Bollinger_Middle', 'Volatility']",1321.110216874661,1527.963829098205
"['RSI_above_70', 'SMA_50', 'Bollinger_Lower', 'Bollinger_Middle']",1224.0075455111096,1527.963829098205
"['RSI_above_70', 'Bollinger_Lower']",1196.0373678370577,1527.963829098205
"['RSI_above_70', 'Bollinger_Middle', 'Volatility']",1054.3615892823116,1527.963829098205
"['RSI', 'SMA_50', 'Bollinger_Upper', 'Volatility']",1007.696750538488,1527.963829098205
"['RSI', 'RSI_above_70', 'SMA_50']",904.3702064452383,1527.963829098205
"['RSI', 'Bollinger_Upper', 'Bollinger_Middle']",834.6518060684054,1527.963829098205
"['SMA_50', 'Bollinger_Lower', 'Bollinger_Middle']",828.9897759203045,1527.963829098205
"['RSI', 'RSI_above_70', 'SMA_50', 'Bollinger_Middle', 'Volatility']",706.2311237059579,1527.963829098205
"['SMA_50', 'Bollinger_Lower', 'Bollinger_Middle', 'Volatility']",689.5639368030714,1527.963829098205
"['RSI', 'SMA_50', 'Bollinger_Upper', 'Bollinger_Lower', 'Volatility']",679.7857977784854,1527.963829098205
"['RSI', 'Bollinger_Upper', 'Bollinger_Middle', 'Volatility']",671.2397925785101,1527.963829098205
"['RSI_above_70', 'SMA_50', 'Bollinger_Upper', 'Bollinger_Middle', 'Volatility']",649.6716534140426,1527.963829098205
"['RSI_above_70', 'SMA_50', 'Bollinger_Upper', 'Bollinger_Lower', 'Bollinger_Middle', 'Volatility']",620.2552782545189,1527.963829098205
