features,net_profit,stock_profit
"['RSI_above_70', 'SMA_50', 'Bollinger_Lower', 'Bollinger_Middle']",2560.9043721430735,1527.963829098205
"['RSI_above_70', 'SMA_50', 'Bollinger_Lower', 'Bollinger_Middle', 'Volatility']",2177.0949900405676,1527.963829098205
"['RSI', 'Bollinger_Upper', 'Bollinger_Lower', 'Bollinger_Middle', 'Volatility']",2138.2662890833935,1527.963829098205
"['RSI_above_70', 'SMA_50', 'Bollinger_Upper', 'Bollinger_Middle', 'Volatility']",1849.664039816547,1527.963829098205
['Bollinger_Upper'],1527.963829098205,1527.963829098205
['Bollinger_Lower'],1527.963829098205,1527.963829098205
['Bollinger_Middle'],1527.963829098205,1527.963829098205
['Volatility'],1527.963829098205,1527.963829098205
"['SMA_50', 'Bollinger_Middle']",1527.963829098205,1527.963829098205
"['SMA_50', 'Volatility']",1527.963829098205,1527.963829098205
"['Bollinger_Upper', 'Volatility']",1527.963829098205,1527.963829098205
"['Bollinger_Lower', 'Bollinger_Middle']",1527.963829098205,1527.963829098205
"['Bollinger_Middle', 'Volatility']",1527.963829098205,1527.963829098205
"['RSI', 'RSI_above_70', 'Bollinger_Upper']",1527.963829098205,1527.963829098205
"['RSI', 'RSI_above_70', 'Bollinger_Middle']",1527.963829098205,1527.963829098205
"['RSI', 'SMA_50', 'Volatility']",1527.963829098205,1527.963829098205
"['RSI_above_70', 'SMA_50', 'Volatility']",1527.963829098205,1527.963829098205
"['RSI_above_70', 'Bollinger_Upper', 'Bollinger_Middle']",1527.963829098205,1527.963829098205
"['RSI_above_70', 'Bollinger_Upper', 'Volatility']",1527.963829098205,1527.963829098205
"['RSI_above_70', 'Bollinger_Lower', 'Bollinger_Middle']",1527.963829098205,1527.963829098205
"['SMA_50', 'Bollinger_Upper', 'Bollinger_Middle']",1527.963829098205,1527.963829098205
"['SMA_50', 'Bollinger_Lower', 'Bollinger_Middle']",1527.963829098205,1527.963829098205
"['RSI', 'RSI_above_70', 'Bollinger_Upper', 'Bollinger_Middle']",1527.963829098205,1527.963829098205
"['RSI', 'Bollinger_Upper', 'Bollinger_Lower', 'Volatility']",1527.963829098205,1527.963829098205
