Price,Close,High,Low,Open,Volume
Ticker,QQQ,QQQ,QQQ,QQQ,QQQ
Date,,,,,
2021-01-04,301.23614501953125,307.0600610614131,297.21394476855295,306.88473697486654,45305900
2021-01-05,303.7196044921875,303.99232427442314,300.2428136415214,300.2428136415214,29323400
2021-01-06,299.5124206542969,303.7391318875527,297.99314305786356,298.9865077259959,52809600
2021-01-07,306.7582702636719,307.5958079158909,302.15172401348093,302.18093975202356,30394800
2021-01-08,310.7024841308594,311.05310264728894,306.85557753973075,309.05659515884645,33955800
2021-01-11,306.2128601074219,308.9105454395216,305.5603357156688,307.73213780533274,32746400
2021-01-12,305.72589111328125,307.34253467574325,303.0768889424779,306.2517743208814,29266800
2021-01-13,307.79058837890625,308.5891617776824,305.3850602544227,305.9888719768365,22898400
2021-01-14,306.1446533203125,309.2416399160996,305.6674233845286,308.2385267839677,23500100
2021-01-15,303.7196044921875,306.8945192717804,302.47301710919805,305.9303704339724,35118700
2021-01-19,308.1509704589844,308.657386556252,304.94683874948674,306.0473478902594,24537000
2021-01-20,315.3187561035156,316.2634377871478,308.24828106410484,311.7835334443055,30728100
2021-01-21,317.8410949707031,318.5910148810674,315.2797701468571,316.6626876099694,25130600
2021-01-22,316.9256896972656,317.9385215452955,316.2342011775091,316.7990782860148,21609400
2021-01-25,319.5454406738281,321.6977751856675,313.02034635471165,320.32457637528177,39080600
2021-01-26,320.0129089355469,321.1523818491346,318.67867439534547,320.2661317432301,25498100
2021-01-27,311.0920104980469,317.75346452973963,309.0760359339723,317.7437457669142,55264000
2021-01-28,312.9327087402344,317.899591250462,311.67637281636166,312.29968139660485,42836300
2021-01-29,306.3492126464844,312.34842515421957,304.5962089351763,311.238167674995,55259000
2021-02-01,314.0040283203125,315.0947887069185,307.77106087514983,309.80650297533276,35646000
2021-02-02,319.1267395019531,320.2856799548757,316.8186070822483,316.9841827416634,33930800
2021-02-03,317.8606262207031,321.58092128191504,317.80219475657844,321.21083552846613,24824500
2021-02-04,321.61993408203125,321.7075812995577,317.93860234093955,319.2631185325525,22350900
2021-02-05,322.71063232421875,323.72349395504676,320.9284131366662,322.5743021413904,22732000
2021-02-08,324.8726806640625,325.02850781412525,322.7593399560013,324.405228934864,20462800
2021-02-09,324.8045349121094,326.0705896574628,323.9280034657982,323.9377519506209,17597500
2021-02-10,324.0644226074219,326.70367675065535,320.89925544446436,326.24594369517246,28068700
2021-02-11,325.84649658203125,326.2555464637853,323.45071790599314,325.60302229362543,22046100
2021-02-12,327.66778564453125,327.8333315555061,323.94749051699705,324.9992866109807,20346800
2021-02-16,326.78155517578125,329.36237744629017,325.6128663599702,328.4663787247029,27080800
2021-02-17,325.21356201171875,326.8984152669621,321.55172788130955,323.79168008428843,31360300
2021-02-18,323.7917175292969,325.15516814622123,319.78898316993946,321.6101965422179,32236200
2021-02-19,322.3794860839844,325.2719623663141,321.3569057676104,325.1453509570322,39157700
2021-02-22,314.0235900878906,319.2436677152688,313.8190798840942,317.9776125399571,47256900
2021-02-23,313.0885925292969,314.76369749052424,302.8821355886799,308.7255208411946,97241900
2021-02-24,315.6694030761719,315.9810574108351,307.7126473824506,310.4200812577267,58206300
2021-02-25,304.6643371582031,315.5720008787036,303.11584372355753,313.00092697319536,110182600
2021-02-26,305.9401550292969,310.7803967575173,302.76523987495557,307.605511324167,104739800
2021-03-01,315.1434631347656,315.4843331765732,309.64094864612514,310.93621913980525,49164500
2021-03-02,310.08892822265625,315.864132708995,309.8357351072908,315.78623399372646,48370000
2021-03-03,301.09014892578125,309.93312497993963,301.0317174545748,308.9884432341117,86301100
2021-03-04,296.1622009277344,303.894948547667,292.27633014862124,300.72003355965234,139131600
2021-03-05,300.62261962890625,301.5283370095682,289.6857716730913,298.79168789961903,121523700
2021-03-08,292.11077880859375,301.96661541311033,291.6920100735732,300.07725214233267,88409800
2021-03-09,303.6319885253906,305.5408488714228,298.9086098059808,299.4442414996281,80391100
2021-03-10,302.7651672363281,308.20924903480176,302.0737085440455,307.9073432795382,76798100
2021-03-11,309.7383117675781,311.5107823008425,306.6315769411764,307.5275458312243,53484800
2021-03-12,307.22552490234375,309.92323848736174,303.2617868860172,305.6672838311633,69315600
2021-03-15,310.5077209472656,310.6732965963562,305.90120488123756,307.5470940026406,42955700
2021-03-16,312.2120361328125,315.73756992039466,310.77068690659974,312.7087333504896,54925900
2021-03-17,313.4975891113281,315.39670106296904,307.4399456694739,309.16376320985347,78258700
2021-03-18,303.8948669433594,309.5824225819098,303.43713410616704,308.5987769757986,82718100
2021-03-19,304.96624755859375,306.51474086547057,301.57707389085067,303.7293788332529,78446200
2021-03-22,310.6853332519531,312.76235941958777,307.3699059729924,307.3699059729924,56194800
2021-03-23,309.32989501953125,313.1036330521871,308.51079162751114,311.7774741580188,53455400
2021-03-24,304.1130065917969,310.74389140174026,303.96674341949927,310.70487796961777,64803700
2021-03-25,303.5863952636719,305.1076213600383,299.74442074986314,302.26023630597564,78729000
2021-03-26,308.1402587890625,308.4620377377171,301.96771543302066,303.3718715129491,63519600
2021-03-29,308.052490234375,309.1056146975115,304.69804970953186,307.60393997771735,54608000
2021-03-30,306.5020446777344,307.07736625988656,303.79119175650374,306.08274704712744,44635700
2021-03-31,311.1924133300781,312.76235416708215,307.9549832053973,308.2962837486454,55032500
2021-04-01,316.4971618652344,316.63366425030813,314.78092782294664,315.0344705133387,55685600
2021-04-05,322.8159484863281,323.58630754733116,318.74968345702473,318.9934653331686,42172500
2021-04-06,322.59173583984375,324.55172217765323,321.8116158658724,322.50397792249714,33537200
2021-04-07,323.3717956542969,324.2104208276581,321.17775865129573,322.11387277352077,32046400
